County,State Name,Area,Average DNI
Siskiyou,California,6347.46,4.2152624
Del Norte,California,1014.41,3.9840145
Modoc,California,4203.35,4.1286454
Trinity,California,3207.59,4.5369306
Shasta,California,3847.41,4.944404
Lassen,California,4720.38,5.213399
Humboldt,California,3586.46,5.368723
Tehama,California,2962.14,5.4792886
Plumas,California,2613.75,5.6436257
Butte,California,1677.69,5.7628
Mendocino,California,3513.25,5.6611257
Glenn,California,1327.03,5.2521296
Sierra,California,961.98,5.006779
Yuba,California,643.16,4.891577
Lake,California,1329.9,4.716561
Nevada,California,974.8,4.3737206
Colusa,California,1156.18,4.440417
Placer,California,1500.45,4.0470014
Sutter,California,608.37,4.061568
El Dorado,California,1789.96,4.2594767
Alpine,California,743.22,4.24601
Yolo,California,1023.26,4.006329
Napa,California,788.12,4.2179003
Sonoma,California,1590.54,4.555328
Sacramento,California,995.28,5.05574
Mono,California,3131.84,5.2123857
Amador,California,604.63,5.5231953
Calaveras,California,1042.65,5.559652
Tuolumne,California,2275.2,5.622766
San Joaquin,California,1431.46,5.6875196
Contra Costa,California,749.96,5.876531
Stanislaus,California,1513.76,5.43778
Solano,California,848.88,5.1148977
Mariposa,California,1458.22,5.02327
Marin,California,524.96,4.961284
Madera,California,2153.72,4.7940555
Alameda,California,744.03,4.705282
San Francisco,California,47.18,4.5187173
Merced,California,1963.68,4.4918394
Fresno,California,6017.2,4.394377
San Mateo,California,454.9,4.373942
Santa Clara,California,1297.96,4.431439
Inyo,California,10227.17,4.27735
Santa Cruz,California,447.38,4.153227
San Benito,California,1390.82,4.2077293
Monterey,California,3314.59,4.223504
Tulare,California,4838.78,4.277423
Kings,California,1391.62,4.168891
San Bernardino,California,20106.03,4.169958
Kern,California,8161.04,4.413085
San Luis Obispo,California,3319.47,4.916371
Riverside,California,7302.91,4.9992666
Santa Barbara,California,2748.84,5.464268
Orange,California,799.16,5.640112
Imperial,California,4481.76,5.702954
Ventura,California,1857.32,5.6663375
Los Angeles,California,4086.85,5.8114934
San Diego,California,4238.56,5.896361
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
